C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\Scripts\python.exe "C:\Program Files\JetBrains\PyCharm 2021.2.3\plugins\python\helpers\pydev\pydevconsole.py" --mode=client --port=65263
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\jnajmon\\PycharmProjects\\ANN_derivatives_TO', 'C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO'])
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)] on win32
runfile('C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO/Run_SIMPTO_noANN.py', wdir='C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO')
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |   1   |   0   | +3.5648e+02 | 1.00e+00 | 4.40e+00 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   0   |
C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\lib\site-packages\scipy\optimize\_hessian_update_strategy.py:182: UserWarning: delta_grad == 0.0. Check if the approximated function is linear. If the function is linear better results can be obtained by defining the Hessian as zero instead of using quasi-Newton approximations.
  warn('delta_grad == 0.0. Check if the approximated '
|  66   |  64   | 3675  | +1.0831e+02 | 3.57e+03 | 1.06e-02 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  67   |  65   | 3744  | +1.0775e+02 | 3.57e+03 | 1.07e-02 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  68   |  66   | 3828  | +1.0720e+02 | 3.57e+03 | 1.07e-02 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  69   |  67   | 3887  | +1.0651e+02 | 3.57e+03 | 1.07e-02 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  70   |  68   | 3943  | +1.0631e+02 | 3.57e+03 | 1.05e-02 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  71   |  69   | 4112  | +1.0598e+02 | 3.57e+03 | 1.04e-02 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  72   |  70   | 4181  | +1.0561e+02 | 3.57e+03 | 1.03e-02 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  73   |  71   | 4259  | +1.0540e+02 | 3.57e+03 | 1.01e-02 | 1.11e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  74   |  72   | 4330  | +1.0498e+02 | 3.57e+03 | 1.05e-02 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  75   |  73   | 4478  | +1.0491e+02 | 3.57e+03 | 1.03e-02 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  76   |  74   | 4530  | +1.0457e+02 | 3.57e+03 | 1.01e-02 | 1.11e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  77   |  75   | 4629  | +1.0418e+02 | 3.57e+03 | 9.66e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  78   |  76   | 4686  | +1.0395e+02 | 3.57e+03 | 9.17e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  79   |  77   | 4751  | +1.0358e+02 | 3.57e+03 | 8.46e-03 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  80   |  78   | 4805  | +1.0322e+02 | 3.57e+03 | 8.08e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  81   |  79   | 4902  | +1.0290e+02 | 3.57e+03 | 7.61e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  82   |  80   | 4981  | +1.0278e+02 | 3.57e+03 | 7.81e-03 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  83   |  81   | 5038  | +1.0250e+02 | 3.57e+03 | 8.01e-03 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  84   |  82   | 5097  | +1.0218e+02 | 3.57e+03 | 8.22e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  85   |  83   | 5169  | +1.0189e+02 | 3.57e+03 | 8.32e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  86   |  84   | 5230  | +1.0151e+02 | 3.57e+03 | 8.38e-03 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  87   |  85   | 5295  | +1.0116e+02 | 3.57e+03 | 8.71e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  88   |  86   | 5370  | +1.0094e+02 | 3.57e+03 | 8.90e-03 | 1.11e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  89   |  87   | 5453  | +1.0064e+02 | 3.57e+03 | 8.98e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  90   |  88   | 5544  | +1.0046e+02 | 3.57e+03 | 8.85e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  91   |  89   | 5595  | +9.9971e+01 | 3.57e+03 | 8.71e-03 | 1.11e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  92   |  90   | 5773  | +9.9611e+01 | 3.57e+03 | 8.67e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
